File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude,Zero-Crossing Rate,Spectral Entropy,MFCC
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6550fc2d-76fe-11ee-9af1-c09bf4619c03.mp3,48000,2.787,0.07431535,1089.568506508333,1303.4091626045806,0.5518056,0.02490979842557252,-1032830700.0,"[-323.56946     222.3464       -1.031555     -6.0313606     3.0497386
    2.8747997     4.6180487    -8.799591      4.4428215     6.6859446
   -7.985914     -4.3466845    -3.9572866    -5.5776663     0.87273073
   -3.4540148    -2.087992      2.5220025   -11.495298    -11.277592  ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/371d1466-76fe-11ee-aa6b-c09bf4619c03.mp3,48000,3.147,0.024431445,2755.73500998509,3327.726713887631,0.16334397,0.05567725929054054,-2316917800.0,"[-366.46863    146.01978    -22.16308     40.90845     -4.1106644
   37.777206    -7.519737     5.8856616   -4.9012737   -8.105262
    0.6096904   -2.019163     1.3038403   -1.1317613    1.285143
   -4.379973    -4.3199677  -10.365603     3.747242    -5.2499957]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/4f377b26-76fe-11ee-93ac-c09bf4619c03.mp3,48000,4.067,0.07304511,2656.7632710809153,2848.598607680932,0.473736,0.069840835651178,-2440706600.0,"[-2.4258804e+02  1.6071700e+02 -6.6660912e+01  2.6636906e+00
 -4.5371166e+01  1.3096900e+01 -2.7600016e+01 -1.4184405e+01
  2.0260937e+00 -2.9318737e+01  1.8364256e+01 -1.3445591e+01
 -4.2465267e+00 -3.6744115e+00 -1.9849897e+01  4.2097330e+00
 -1.4878587e+01  9.6728899e-02 -3.4966409e+00 -8.8235531e+00]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6fa717f3-76fe-11ee-a269-c09bf4619c03.mp3,48000,1.747,0.067555904,2686.706071849926,3190.33537603308,0.5392665,0.12118306974085366,-709661600.0,"[-268.222       170.52296     -18.95576      44.707256     -8.51015
   -2.822694      1.3203931     0.27859554    0.42521486   -1.4132408
   -8.994725      2.6413195   -17.856598     -1.8001897    -1.598946
   -8.862814      2.9724672   -11.285044      9.640884    -14.087899  ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/55366f4d-76fe-11ee-8e20-c09bf4619c03.mp3,48000,4.587,0.05395428,1607.328344616031,2143.2504230038185,0.6548856,0.034716683584686776,-2425307400.0,"[-343.98288     157.25264      20.702957     13.288976      7.263672
   15.139291      4.1913347     2.6119697     2.9080474    -1.6529789
   -4.243774      0.77370304    0.64496833   -2.6334639    -3.3763359
    3.1314921     4.1404014    -2.3976457     2.2113328    -1.0388902 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/41993f74-76fe-11ee-a9a2-c09bf4619c03.mp3,48000,1.827,0.07367884,2006.2307461086175,2029.04161292455,0.6386881,0.05467330577761628,-949900350.0,"[-307.31927     165.91586     -19.954466      4.952112      7.923209
    9.2242985    -4.2712555     0.39546016  -14.406351    -15.440293
    6.368181     -6.4600887    -5.831438      4.5700517     3.685021
   -1.6006638    -4.643392     -0.82799876   -2.7836711    -6.7931957 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/5c726b91-76fe-11ee-96a8-c09bf4619c03.mp3,48000,2.707,0.05971432,2390.9077968588003,2689.4309639214202,0.6255048,0.05914546936515748,-1812811000.0,"[-300.871      145.1538     -22.509817    10.033768     4.440852
    9.63389    -12.820084    -5.3763027   -5.8137703   -9.35831
   -5.5746336  -11.744854    -7.6647835   -6.3835855   -6.5082603
   -5.3584995   -3.3959272   -5.466648    -1.9882276   -3.7929568]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/62ad0edb-76fe-11ee-a1d5-c09bf4619c03.mp3,48000,4.207,0.15882438,718.7488149050287,1223.84098342275,0.6948534,0.016041584256329115,-1228103400.0,"[-319.12598    182.95267     24.34677     15.604488    37.057938
   23.895506    11.6845875   16.261759    15.983566     6.407957
    2.3254328    2.0329158    3.4423015    6.364312     5.938348
    3.2269917    3.9440858    4.0650682    1.7124305    1.386193 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/7a912564-76fe-11ee-9c28-c09bf4619c03.mp3,48000,2.467,0.05014703,1686.3323768781927,1968.7766934391368,0.5916357,0.03638958108836207,-1601197300.0,"[-3.5878085e+02  1.6891396e+02 -3.4981573e+00  8.2930863e-02
  8.1944313e+00  3.4408438e+00 -3.0896118e+00  1.7676212e+00
 -6.0132699e+00 -9.9420605e+00  4.5981941e+00 -2.1425412e+00
 -3.8343291e+00  3.7452731e+00  2.2365644e+00 -1.2179023e+00
 -2.8626165e+00  1.4092939e+00  7.6551211e-01 -3.2125669e+00]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6bf4dc78-76fe-11ee-a429-c09bf4619c03.mp3,48000,2.9335,0.08255304,1395.429861526935,1431.1120797521025,0.78937274,0.039858610733695655,-1647352400.0,"[-309.75882     167.0876       -6.1823516     2.1655574     4.2250075
  -13.483502      9.83151       8.993126      0.86047685    7.2463717
   -2.7232854    -5.1490912     1.626847     -6.1607924    -3.75508
    5.7030725    -1.4216769    -4.7761283    -2.2495012    -4.685407  ]"
