File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude,Zero-Crossing Rate,Spectral Entropy,MFCC
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/572827cc-76ff-11ee-8b1d-c09bf4619c03_2.wav,48000,2.2,0.11527128,4770.303807715223,5601.028024647277,0.9999695,0.08759576917270531,-526796260.0,"[-107.55575     107.184685      6.859777     25.54178      -1.6580584
    0.90080667   -8.380594     -1.1985986    -9.269829     -6.2733397
   -8.955442     -7.0659356    -5.652363     -0.96732503   -8.824932
   -1.6005484    -1.7218109    -2.373823     -6.5343294    -3.9934525 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/405f548b-76ff-11ee-95cb-c09bf4619c03_1.wav,48000,1.9535,0.11756283,2516.7350309265557,3973.46711632372,0.602417,0.037698496942934784,-430746400.0,"[-138.90245     164.03401      -7.2044797    16.249796     -1.0742118
   11.446658     -1.9546107     2.9718707    -3.6766312     5.4504414
   -3.1379392     5.082187      1.1927321     4.029343     -2.6946428
    3.8959079    -1.872135     -2.1989226    -2.3510046    -0.55961186]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/39039b4f-76ff-11ee-9039-c09bf4619c03_2.wav,48000,2.107,0.014477593,2311.8927590592007,3724.110591061921,0.068237305,0.03290719696969697,-1447866900.0,"[-3.5734802e+02  1.7000453e+02 -1.0020125e+01  1.6177624e+01
 -4.3163395e+00  1.1205460e+01  2.6198363e-01  5.0480623e+00
 -7.1316881e+00  3.9956856e+00 -6.9296879e-01 -1.7351513e-01
 -1.1503037e+00  4.5863967e+00 -4.6143203e+00  2.8491488e-01
 -1.2365530e+00 -3.9098270e+00 -7.6575942e+00 -7.6820165e-02]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/41cdef08-76ff-11ee-b309-c09bf4619c03_2.wav,48000,4.167,0.03352652,2596.7346947629876,3855.0223065044142,0.3036499,0.04021389466112532,-2009197000.0,"[-2.7404395e+02  1.6140700e+02 -1.3342514e+01  1.4718368e+01
 -7.0043139e+00  1.6634295e+01  2.9415004e-02  3.4171968e+00
 -5.0790610e+00  7.6087489e+00 -1.0418127e+00  2.7996180e+00
  1.3891847e+00  4.5521851e+00 -4.8521175e+00  2.5352063e+00
 -2.3551877e+00 -5.9331007e+00 -6.3780594e+00 -4.7203627e+00]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/5cd0fcea-76ff-11ee-a7dc-c09bf4619c03_1.wav,48000,1.8935,0.11239864,2681.4237628098385,4016.9869966648907,0.6972351,0.04230765010533708,-447518240.0,"[-1.40000702e+02  1.61036896e+02 -1.15705385e+01  1.23151512e+01
 -4.02639675e+00  9.12976074e+00 -3.98459029e+00 -1.93450463e+00
 -4.94887114e+00  4.03853226e+00 -5.39802694e+00  3.52051139e-01
 -7.55477488e-01  2.97955179e+00 -3.56013584e+00  4.41290379e+00
 -3.43735743e+00 -4.18198681e+00 -5.08852863e+00  6.77249059e-02]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/62b9edca-76ff-11ee-8295-c09bf4619c03_2.wav,48000,3.487,0.03848106,2624.7531832517807,4052.775166487438,0.3657837,0.0390610067851682,-1530670300.0,"[-250.99355     162.35136      -9.8388       13.112495     -1.2781137
   10.029551     -4.518833      5.8481145    -7.8815894     7.8825297
   -4.4191976     2.1951184    -1.2174964     4.165071     -3.7607415
   -0.99027187   -3.0275207    -5.0238338    -6.883307     -2.1248312 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/420bb440-76ff-11ee-9a7e-c09bf4619c03_2.wav,48000,4.147,0.035741664,2585.061485889483,3834.0285480521034,0.32666016,0.03980308081619537,-1931884000.0,"[-2.6978568e+02  1.6190822e+02 -1.3596680e+01  1.4233264e+01
 -6.9040074e+00  1.6454264e+01 -7.2749712e-02  3.0134068e+00
 -4.4045596e+00  6.2940283e+00 -2.7988523e-01  2.3932734e+00
  1.1301198e+00  4.9645629e+00 -5.0131593e+00  3.0282164e+00
 -2.5330980e+00 -5.5513535e+00 -6.7045488e+00 -4.8085918e+00]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/6e382010-76ff-11ee-b03a-c09bf4619c03_2.wav,48000,3.227,0.0969738,3804.1777617114753,5208.580940886376,0.5223999,0.05495661870874587,-817633700.0,"[-1.3688501e+02  1.3123090e+02  4.9511597e-01  1.4572275e+01
  4.0536979e-01  6.8682380e+00  9.3280309e-01  4.2437668e+00
 -4.1589284e+00  2.0779753e+00  5.0652188e-01  3.9292622e+00
 -1.2370678e-01  2.9603055e+00 -2.0738139e+00  3.1699474e+00
 -3.8404820e+00 -2.9639282e+00 -9.2133665e+00 -3.0724082e+00]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/3fe3a2f8-76ff-11ee-bced-c09bf4619c03_1.wav,48000,1.707,0.08746709,1827.8667093805964,3191.4980536758353,0.5062561,0.029399990295031056,-482426500.0,"[-205.68697    192.97809     -9.12542      9.003809     1.8322034
    9.1256895    3.9628308    6.205398    -1.7389458    3.3835242
   -6.012577     1.2590154   -4.1045885    5.6257668   -4.4929466
    1.7635568   -2.8143418   -2.9290783   -3.0150385   -4.75721  ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/90eeb99b-76ff-11ee-91ac-c09bf4619c03_1.wav,48000,3.427,0.11514517,2363.68610111199,3611.2577868665044,0.9999695,0.037412655279503104,-785240260.0,"[-150.4391      170.9892      -17.463009     14.028595     -1.4613763
   14.85011       0.42244256    4.2791634    -5.634658      3.129613
   -1.5593781     1.2311105    -2.9709313     5.473377     -3.8985054
    0.8928868    -2.7244594    -4.334997     -8.951308     -1.8305435 ]"
