File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude,Zero-Crossing Rate,Spectral Entropy,MFCC
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_11.wav,16000,10.0,0.46207583,978.3157893277987,1446.3204882794664,1.0,0.045923397563897767,,"[ 1.7398005e+01  1.3806346e+02  1.5558231e+01  2.8610441e+01
  3.1859338e+00  7.2892356e+00 -2.3679206e+00  8.6736803e+00
  1.6315176e+00  4.6522536e+00 -5.1398125e+00  6.1417685e+00
  4.3484122e-01  1.9940525e+00 -3.7393129e+00  3.7934890e+00
 -2.3945715e+00 -1.1714218e-01 -1.4564030e+00  3.3110468e+00]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_5.wav,16000,10.0,0.4860202,1343.048598847044,1781.4191569850134,1.0,0.06368404303115016,,"[ 48.554764   113.19406     16.56843     22.238413     8.309969
  11.86111     -1.1793964    5.150011     0.68055135   5.9687147
  -0.43567276   6.9578986   -1.2142258    3.4002428   -4.1528745
   5.686618    -2.6150453    1.8656702   -1.0143331    3.0870452 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_4.wav,16000,10.0,0.49834844,888.5088907774808,1362.1581882004277,1.0,0.04101094498801917,,"[ 12.616939  146.11458    15.633012   25.07735     3.0950007  12.278864
  -4.3407474   5.9460073   2.3921704   6.167195   -4.414826    4.1671686
   2.3630605   3.7857046  -4.213889    5.5615153  -2.8897257   2.3083625
  -1.5689965   3.131231 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_10.wav,16000,10.0,0.4757908,864.5873746206026,1349.6655071042426,1.0,0.035895691892971246,,"[ -2.7083757  144.4984      14.287971    29.759663     2.6727755
   8.967523    -0.66225505  10.181628     3.8919868    6.771375
  -5.0523024    8.215523     2.8102715    2.9679365   -4.174797
   3.97869      0.6494985    1.5496229   -0.42486045   3.7394114 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_12.wav,16000,10.0,0.5168853,912.5378014633836,1407.9662695002974,1.0,0.038967339756389774,,"[ 12.276746   140.29823     16.927116    29.667301     3.9388373
   9.056167    -1.3155675    9.687388     1.38351      5.5913124
  -4.771143     7.8291607    0.23537408   3.0761504   -1.4132307
   2.4757922   -2.4130912    2.4125414    1.0193912    3.1198215 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_6.wav,16000,10.0,0.5043324,866.1662690547811,1346.802556556991,1.0,0.03776769668530351,,"[  8.955709  146.0271     15.008671   29.189821    4.974866   10.221404
  -3.9328496   8.603435    2.0616508   5.754391   -5.598575    5.6075945
   1.4660591   5.5040474  -3.8665285   4.203129   -1.7164174   2.3502128
  -0.6228358   2.672351 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_7.wav,16000,10.0,0.45006582,880.7476234507873,1326.656923162057,1.0,0.040995344948083066,,"[  2.0366023 147.40208    12.318579   29.297695    3.3152297   9.818724
  -7.1934295   7.8267303   2.024362    5.9385123  -6.4524493   5.86786
   1.9590378   4.5493126  -2.6276498   4.2542906  -1.5270653   1.775422
  -1.117077    2.6782455]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_13.wav,16000,10.0,0.4946505,906.3451130792932,1410.5644075536395,1.0,0.03769749650559105,,"[  3.4036677  140.32161     19.122944    30.143269     1.7645166
   8.96241     -2.839189     9.938674     2.2781744    6.3899555
  -4.4127336    8.967099     0.89702356   3.3307426   -0.48902723
   2.433434    -1.6599624    1.2950656    0.75515485   4.6239433 ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_17.wav,16000,10.0,0.4483188,821.0404401315969,1270.344905150812,1.0,0.03642141323881789,,"[-11.703172   150.8585      12.937986    32.617603    -2.3429506
  10.875927    -2.994913    11.323012     3.402627     4.841365
  -5.1642027    8.275847     1.9065316    2.7619336   -3.024985
   3.7046483   -1.0182408    1.2451338   -0.56194943   5.361008  ]"
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/noise/noise_3.wav,16000,10.0,0.47431257,1098.5509762423628,1541.4993898266284,1.0,0.05402917831469649,,"[ 2.8975718e+01  1.3366046e+02  1.6922255e+01  2.0818636e+01
 -7.2667912e-02  1.1280823e+01 -4.0728598e+00  6.2084670e+00
  4.9780498e+00  4.1864071e+00 -3.3692896e+00  6.5861807e+00
  3.0620718e+00  3.7880595e+00 -4.7965117e+00  5.5917015e+00
 -4.3506489e+00  4.2991352e+00 -1.7311805e+00  3.1637871e+00]"
