File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/6d3a55fa-76ff-11ee-912b-c09bf4619c03.mp3,48000,3.307,0.041417755,2345.3940011313275,2769.0835191387187,0.42019936
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/3b1343a8-76ff-11ee-a249-c09bf4619c03.mp3,48000,2.867,0.056403585,2021.3650372684292,2562.0091396192934,0.53954035
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/6dae27d3-76ff-11ee-a7b8-c09bf4619c03.mp3,48000,3.627,0.03759465,2706.263522418622,2805.381991577486,0.42019936
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/69c246ba-76ff-11ee-a981-c09bf4619c03.mp3,48000,3.787,0.028448598,1844.4116601467053,2556.3246380174487,0.37168476
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/3622ccb6-76ff-11ee-860d-c09bf4619c03.mp3,48000,3.867,0.012165885,2888.03990760691,3272.814320482237,0.16172409
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/39650ae3-76ff-11ee-81d8-c09bf4619c03.mp3,48000,2.5735,0.10442308,1740.357580701182,2463.044731114473,0.7983008
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/5019aafe-76ff-11ee-b5c2-c09bf4619c03.mp3,48000,1.5535,0.044045515,1166.8909274942766,1603.3074522501063,0.2845471
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/8ea321b6-76ff-11ee-8045-c09bf4619c03.mp3,48000,2.3,0.07093092,2838.904903251688,2716.2934920598323,0.9560304
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/5597ac55-76ff-11ee-a473-c09bf4619c03.mp3,48000,2.827,0.015261822,3194.4708187621527,3271.8758494273534,0.28173614
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/6b30c7b9-76ff-11ee-8ce1-c09bf4619c03.mp3,48000,1.4335,0.05574618,2413.739603295954,2511.238779050598,0.632535
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/84c758ff-76ff-11ee-9b88-c09bf4619c03.mp3,48000,4.307,0.01291778,2754.7652735460288,3224.6462004889554,0.13867065
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/58a67d87-76ff-11ee-b746-c09bf4619c03.mp3,48000,4.187,0.00955871,1793.7712269631083,2428.0676602525778,0.12858702
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/8a6e4786-76ff-11ee-bbaf-c09bf4619c03.mp3,48000,3.067,0.043662872,2354.183731466906,2324.7346517882356,0.53955907
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/3aff919a-76ff-11ee-b76a-c09bf4619c03.mp3,48000,2.827,0.0521676,2125.552306330724,2569.6855162179813,0.5994821
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/860274de-76ff-11ee-932e-c09bf4619c03.mp3,48000,2.2935,0.044422183,1999.265751833731,2623.694579107152,0.8121913
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/66c3e93c-76ff-11ee-a483-c09bf4619c03.mp3,48000,3.08,0.017532412,1523.0125254831646,2023.0275924493467,0.25430351
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/7c158762-76ff-11ee-adca-c09bf4619c03.mp3,48000,2.3335,0.012145776,3082.3649484625053,3480.9278919746575,0.12898742
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/8cf0bbb0-76ff-11ee-a5b1-c09bf4619c03.mp3,48000,2.1935,0.027777908,2209.051502484513,3305.847572494026,0.4943293
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/465a48e5-76ff-11ee-a40b-c09bf4619c03.mp3,48000,1.6935,0.21883608,1742.0180647791726,2597.6410684723664,0.9145103
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/6ffa0e65-76ff-11ee-befe-c09bf4619c03.mp3,48000,2.707,0.06763355,2193.023934253314,2713.291124399626,0.79543257
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/6261dd79-76ff-11ee-a391-c09bf4619c03.mp3,48000,3.127,0.09363996,1632.3185969530684,2073.8342613433197,0.74846005
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/414e035f-76ff-11ee-b0d2-c09bf4619c03.mp3,48000,1.3935,0.046121668,2752.6274690407868,2538.9077369301885,0.59787965
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/836e3cc8-76ff-11ee-ac6b-c09bf4619c03.mp3,48000,2.867,0.05009976,2003.0927387890472,2336.821306294336,0.62775105
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/5b38b959-76ff-11ee-9784-c09bf4619c03.mp3,48000,1.9935,0.08498676,1432.794592054059,2010.224260741002,0.6300096
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/4e11354c-76ff-11ee-abf9-c09bf4619c03.mp3,48000,2.1335,0.012032234,3156.8773549589187,3368.8494904145828,0.16919582
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_clear/50e3faf9-76ff-11ee-a7f9-c09bf4619c03.mp3,48000,1.5935,0.0187413,2344.2825364583337,2414.9037500594914,0.15360452
