File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6550fc2d-76fe-11ee-9af1-c09bf4619c03.mp3,48000,2.787,0.07431535,1089.568506508333,1303.4091626045806,0.5518056
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/371d1466-76fe-11ee-aa6b-c09bf4619c03.mp3,48000,3.147,0.024431445,2755.73500998509,3327.726713887631,0.16334397
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/4f377b26-76fe-11ee-93ac-c09bf4619c03.mp3,48000,4.067,0.07304511,2656.7632710809153,2848.598607680932,0.473736
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6fa717f3-76fe-11ee-a269-c09bf4619c03.mp3,48000,1.747,0.067555904,2686.706071849926,3190.33537603308,0.5392665
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/55366f4d-76fe-11ee-8e20-c09bf4619c03.mp3,48000,4.587,0.05395428,1607.328344616031,2143.2504230038185,0.6548856
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/41993f74-76fe-11ee-a9a2-c09bf4619c03.mp3,48000,1.827,0.07367884,2006.2307461086175,2029.04161292455,0.6386881
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/5c726b91-76fe-11ee-96a8-c09bf4619c03.mp3,48000,2.707,0.05971432,2390.9077968588003,2689.4309639214202,0.6255048
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/62ad0edb-76fe-11ee-a1d5-c09bf4619c03.mp3,48000,4.207,0.15882438,718.7488149050287,1223.84098342275,0.6948534
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/7a912564-76fe-11ee-9c28-c09bf4619c03.mp3,48000,2.467,0.05014703,1686.3323768781927,1968.7766934391368,0.5916357
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6bf4dc78-76fe-11ee-a429-c09bf4619c03.mp3,48000,2.9335,0.08255304,1395.429861526935,1431.1120797521025,0.78937274
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/318674b8-76fe-11ee-9100-c09bf4619c03.mp3,48000,0.8735,0.07752328,2911.095011440049,2952.5865166035696,0.83749384
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/59448ab9-76fe-11ee-b90b-c09bf4619c03.mp3,48000,4.327,0.063759424,1766.1021804982147,2272.2179101871943,0.631981
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/2d645adb-76fe-11ee-99b2-c09bf4619c03.mp3,48000,0.6735,0.10151534,2100.1828974793643,2938.159157866913,0.6324047
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/386e12b0-76fe-11ee-8d5e-c09bf4619c03.mp3,48000,2.667,0.083760664,1818.7707580361298,1840.6355896558932,0.6192193
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/37830c12-76fe-11ee-8388-c09bf4619c03.mp3,48000,3.207,0.03259005,1909.7847826954494,2299.1933442503246,0.29400247
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/35db0af6-76fe-11ee-bb12-c09bf4619c03.mp3,48000,1.827,0.08061293,2086.823805508952,2479.7498592988304,0.5564543
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6ff1a6be-76fe-11ee-bf15-c09bf4619c03.mp3,48000,1.667,0.08338977,2194.269503097727,2590.4973310940486,0.533666
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/3190685c-76fe-11ee-bd4b-c09bf4619c03.mp3,48000,2.0335,0.060925573,1844.853394493089,1675.5510358992312,0.73856974
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_noise/6ce6e960-76fe-11ee-a46a-c09bf4619c03.mp3,48000,1.2135,0.064388104,2405.120836200547,2242.691831069663,0.42569876
