File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/572827cc-76ff-11ee-8b1d-c09bf4619c03_2.wav,48000,2.2,0.11527128,4770.303807715223,5601.028024647277,0.9999695
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/405f548b-76ff-11ee-95cb-c09bf4619c03_1.wav,48000,1.9535,0.11756283,2516.7350309265557,3973.46711632372,0.602417
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/39039b4f-76ff-11ee-9039-c09bf4619c03_2.wav,48000,2.107,0.014477593,2311.8927590592007,3724.110591061921,0.068237305
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/41cdef08-76ff-11ee-b309-c09bf4619c03_2.wav,48000,4.167,0.03352652,2596.7346947629876,3855.0223065044142,0.3036499
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/5cd0fcea-76ff-11ee-a7dc-c09bf4619c03_1.wav,48000,1.8935,0.11239864,2681.4237628098385,4016.9869966648907,0.6972351
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/62b9edca-76ff-11ee-8295-c09bf4619c03_2.wav,48000,3.487,0.03848106,2624.7531832517807,4052.775166487438,0.3657837
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/420bb440-76ff-11ee-9a7e-c09bf4619c03_2.wav,48000,4.147,0.035741664,2585.061485889483,3834.0285480521034,0.32666016
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/6e382010-76ff-11ee-b03a-c09bf4619c03_2.wav,48000,3.227,0.0969738,3804.1777617114753,5208.580940886376,0.5223999
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/3fe3a2f8-76ff-11ee-bced-c09bf4619c03_1.wav,48000,1.707,0.08746709,1827.8667093805964,3191.4980536758353,0.5062561
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/90eeb99b-76ff-11ee-91ac-c09bf4619c03_1.wav,48000,3.427,0.11514517,2363.68610111199,3611.2577868665044,0.9999695
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/61ddcda4-76ff-11ee-9019-c09bf4619c03_2.wav,48000,3.8935,0.08647743,2602.302436285443,4025.230069654163,0.76971436
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/6c4033be-76ff-11ee-a835-c09bf4619c03_1.wav,48000,3.807,0.033921838,3733.2573465332284,5096.671558034769,0.22518921
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/928c9bed-76ff-11ee-a29c-c09bf4619c03_1.wav,48000,3.067,0.069969565,2515.078283560424,3764.0684749278903,0.4404602
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/5c6ef5a9-76ff-11ee-b19f-c09bf4619c03_2.wav,48000,3.307,0.1024588,4258.87585823117,5066.661767575271,0.789032
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/60e7e022-76ff-11ee-a320-c09bf4619c03_1.wav,48000,2.6135,0.08274325,2434.498504269534,3635.4249366746803,0.57925415
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/5a5138a9-76ff-11ee-ad50-c09bf4619c03_2.wav,48000,3.247,0.15140407,3837.4337811299256,5167.034804539153,0.9999695
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/745c090f-76ff-11ee-bca9-c09bf4619c03_2.wav,48000,2.947,0.039236166,2474.5823856055863,3908.400779292682,0.29156494
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/hr_bot_synt/33de1456-76ff-11ee-ac67-c09bf4619c03_2.wav,48000,1.8535,0.2531907,2540.04816816232,3717.818512839193,1.0
