File,Sample Rate (Hz),Duration (s),RMS Energy,Spectral Centroid (Hz),Spectral Bandwidth (Hz),Max Amplitude
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_23_59.wav,16000,5.0,0.040471293,597.3078487173859,1119.3806341826573,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_39_15.wav,16000,5.0,0.12207392,558.4424110689826,841.6383638060902,0.9999695
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_26_36.wav,16000,5.0,0.80330205,1005.7495976979216,1289.3012516249541,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_29_38.wav,16000,5.0,0.16362353,653.010794159779,1014.9416917545775,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_53_19.wav,16000,5.0,0.2697817,641.7528693112383,989.4810913836976,0.9999695
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_38_55.wav,16000,5.0,0.26372582,607.7855756243324,944.5190463507545,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__09_49_56.wav,16000,5.0,0.44927987,746.8566763487158,982.371631035959,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_34_36.wav,16000,5.0,0.511366,669.7126014288352,1079.6402030466375,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_52_59.wav,16000,5.0,0.15714866,544.5164560820343,918.161429860971,0.9785156
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_24_26.wav,16000,5.0,0.81618756,1062.7467973158364,1322.439599698654,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_36_32.wav,16000,5.0,0.4568598,649.6429532597197,1038.1876832502865,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_22_45.wav,16000,5.0,0.67513525,773.3858656292899,1102.2262217534735,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__09_41_25.wav,16000,5.0,0.3248648,1066.8768240766944,1306.03698263147,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_21_28.wav,16000,5.0,0.22993481,772.4653143000496,1222.947703524467,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__10_53_32.wav,16000,5.0,0.15904154,579.751405500893,905.564660090255,0.75442505
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__09_45_41.wav,16000,5.0,0.21961433,741.5538462224014,1155.2891307674415,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_14_44.wav,16000,5.0,0.2920182,836.4491507657804,1314.6977867604849,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_23_05.wav,16000,5.0,0.26109594,660.6942192729598,1110.225723091784,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_18_44.wav,16000,5.0,0.72680014,1014.1080689693352,1293.9144056517378,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_20_54.wav,16000,5.0,0.80765283,996.0428008175398,1294.470405338228,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__11_34_21.wav,16000,5.0,0.4666597,683.0434662456996,1055.0891332612825,1.0
/Users/daniil/Хакатоны/ЦП СВФО/1/data/ржд 1/ESC_DATASET_v1.2/luga/15_11_2023/2023_11_15__09_50_48.wav,16000,5.0,0.47589946,729.0748798164668,1015.596768341491,1.0
