audio_filepath,text,label,attribute,exists,duration
6ca54494-76ff-11ee-8f2f-c09bf4619c03_1.wav,осадить на тринадцать вагонов,4,13,True,3.687
6ca54494-76ff-11ee-8f2f-c09bf4619c03_2.wav,осадить на тринадцать вагонов,4,13,True,3.687
6f15d2de-76ff-11ee-94ec-c09bf4619c03_1.wav,осадить на десять вагонов,4,10,True,2.867
6f15d2de-76ff-11ee-94ec-c09bf4619c03_2.wav,осадить на десять вагонов,4,10,True,2.867
4ae49614-76ff-11ee-b181-c09bf4619c03_1.wav,осадить на три вагона,4,3,True,2.207
4ae49614-76ff-11ee-b181-c09bf4619c03_2.wav,осадить на три вагона,4,3,True,2.207
53e7f721-76ff-11ee-b51e-c09bf4619c03_1.wav,осадить на шестнадцать вагонов,4,16,True,2.987
53e7f721-76ff-11ee-b51e-c09bf4619c03_2.wav,осадить на шестнадцать вагонов,4,16,True,2.987
72623174-76ff-11ee-9e59-c09bf4619c03_1.wav,вышел из межвагонного пространства,7,-1,True,3.3735
72623174-76ff-11ee-9e59-c09bf4619c03_2.wav,вышел из межвагонного пространства,7,-1,True,3.3735
763bd8fe-76ff-11ee-a307-c09bf4619c03_1.wav,продолжаем роспуск,8,-1,True,1.9735
763bd8fe-76ff-11ee-a307-c09bf4619c03_2.wav,продолжаем роспуск,8,-1,True,1.9735
8ec9d7ba-76ff-11ee-ae25-c09bf4619c03_1.wav,осадить на один вагон,4,1,True,2.48
8ec9d7ba-76ff-11ee-ae25-c09bf4619c03_2.wav,осадить на один вагон,4,1,True,2.48
5afa30bf-76ff-11ee-b5af-c09bf4619c03_1.wav,осадить на шестнадцать вагонов,4,16,True,3.827
5afa30bf-76ff-11ee-b5af-c09bf4619c03_2.wav,осадить на шестнадцать вагонов,4,16,True,3.827
55278a59-76ff-11ee-8965-c09bf4619c03_1.wav,отказ,0,-1,True,2.1135
55278a59-76ff-11ee-8965-c09bf4619c03_2.wav,отказ,0,-1,True,2.1135
3bc9a05a-76ff-11ee-8f44-c09bf4619c03_1.wav,отмена,1,-1,True,1.3335
3bc9a05a-76ff-11ee-8f44-c09bf4619c03_2.wav,отмена,1,-1,True,1.3335
3bb3594f-76ff-11ee-9155-c09bf4619c03_1.wav,осадить на девять вагонов,4,9,True,2.627
